county,voted_asian_democrat,voted_asian_republican,voted_asian_nonpartisan,voted_european_democrat,voted_european_republican,voted_european_nonpartisan,voted_hispanic_democrat,voted_hispanic_republican,voted_hispanic_nonpartisan,voted_african_democrat,voted_african_republican,voted_african_nonpartisan,voted_other_democrat,voted_other_republican,voted_other_nonpartisan,nonvoted_asian_democrat,nonvoted_asian_republican,nonvoted_asian_nonpartisan,nonvoted_european_democrat,nonvoted_european_republican,nonvoted_european_nonpartisan,nonvoted_hispanic_democrat,nonvoted_hispanic_republican,nonvoted_hispanic_nonpartisan,nonvoted_african_democrat,nonvoted_african_republican,nonvoted_african_nonpartisan,nonvoted_other_democrat,nonvoted_other_republican,nonvoted_other_nonpartisan
00020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
00090,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
00170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
01001,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0
01003,0,0,0,1,24,0,1,0,0,1,0,0,1,1,0,0,0,0,4,16,0,1,0,0,3,0,0,0,0,0
01005,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01007,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
01009,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
01011,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
01013,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
01015,0,0,0,0,11,1,0,0,0,3,1,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,1
01017,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
01019,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,1,0
01021,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01023,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01025,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
01027,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
01029,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
01031,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
01033,0,0,0,1,6,0,0,0,0,1,0,0,0,1,0,0,1,0,0,3,3,0,0,0,2,0,0,0,0,0
01035,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
01037,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01039,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,2
01041,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01043,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,1,0
